Film year,Ceremony year,Ceremony number,Winning category,Winner name,Film title,Film Duration,Film score
1942,1943,15,Short Subject (cartoon),"Walt Disney, Producer",Der Fuehrer's Face,8,75.0
1942,1943,15,Short Subject (one-reel),Paramount,Speaking of Animals and Their Families,8,54.0
1942,1943,15,Short Subject (two-reel),Warner Bros.,Beyond the Line of Duty,22,60.0
1942,1943,15,Sound Recording,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Yankee Doodle Dandy,126,76.0
1942,1943,15,Special Effects,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",Reap the Wild Wind,123,66.0
1942,1943,15,Writing (original Motion Picture Story),Emeric Pressburger,The Invaders,0,80.0
1942,1943,15,Writing (original Screenplay),"Ring Lardner, Jr., Michael Kanin",Woman of the Year,114,71.0
1942,1943,15,Writing (screenplay),"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",Mrs. Miniver,134,76.0
1943,1944,16,Actor,Paul Lukas,Watch on the Rhine,114,71.0
1943,1944,16,Actor In A Supporting Role,Charles Coburn,The More the Merrier,104,77.0
1943,1944,16,Actress,Jennifer Jones,The Song of Bernadette,156,76.0
1943,1944,16,Actress In A Supporting Role,Katina Paxinou,For Whom the Bell Tolls,170,68.0
1943,1944,16,Art Direction (black-and-white),"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little",The Song of Bernadette,156,76.0
1943,1944,16,Art Direction (color),"Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb",Phantom of the Opera,92,64.0
1943,1944,16,Cinematography (black-and-white),Arthur Miller,The Song of Bernadette,156,76.0
1943,1944,16,Cinematography (color),"Hal Mohr, W. Howard Greene",Phantom of the Opera,92,64.0
1943,1944,16,Documentary (short Subject),United States Navy,December 7th,82,61.0
1943,1944,16,Film Editing,George Amy,Air Force,124,70.0
1943,1944,16,Music (music Score Of A Dramatic Or Comedy Picture),Alfred Newman,The Song of Bernadette,156,76.0
1943,1944,16,Music (scoring Of A Musical Picture),Ray Heindorf,This Is the Army,121,58.0
1943,1944,16,Music (song),Music by Harry Warren; Lyrics by Mack Gordon,"Hello, Frisco, Hello",99,65.0
1943,1944,16,Short Subject (cartoon),"Frederick Quimby, Producer",Yankee Doodle Mouse,8,77.0
1943,1944,16,Short Subject (two-reel),"Jerry Bresler and Sam Coslow, Producers",Heavenly Music,22,62.0
1943,1944,16,Sound Recording,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",This Land Is Mine,103,75.0
1943,1944,16,Special Effects,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,Crash Dive,106,64.0
1943,1944,16,Writing (original Motion Picture Story),William Saroyan,The Human Comedy,117,70.0
1943,1944,16,Writing (original Screenplay),Norman Krasna,Princess O'Rourke,94,67.0
1944,1945,17,Actor,Bing Crosby,Going My Way,126,70.0
1944,1945,17,Actor In A Supporting Role,Barry Fitzgerald,Going My Way,126,70.0
1944,1945,17,Actress,Ingrid Bergman,Gaslight,114,78.0
1944,1945,17,Actress In A Supporting Role,Ethel Barrymore,None but the Lonely Heart,113,64.0
1944,1945,17,Art Direction (black-and-white),"Art Direction:  Cedric Gibbons, William Ferrari;  Interior Decoration:  Edwin B. Willis, Paul Huldschinsky",Gaslight,114,78.0
1944,1945,17,Art Direction (color),Art Direction:  Wiard Ihnen;  Interior Decoration:  Thomas Little,Wilson,154,64.0
1944,1945,17,Cinematography (black-and-white),Joseph LaShelle,Laura,88,79.0
1944,1945,17,Cinematography (color),Leon Shamroy,Wilson,154,64.0
1944,1945,17,Directing,Leo McCarey,Going My Way,126,70.0
1944,1945,17,Documentary (feature),United States Navy,The Fighting Lady,61,71.0
1944,1945,17,Documentary (short Subject),United States Marine Corps,With the Marines at Tarawa,18,70.0
1944,1945,17,Film Editing,Barbara McLean,Wilson,154,64.0
1944,1945,17,Music (music Score Of A Dramatic Or Comedy Picture),Max Steiner,Since You Went Away,177,75.0
1944,1945,17,Music (scoring Of A Musical Picture),"Morris Stoloff, Carmen Dragon",Cover Girl,107,67.0
1944,1945,17,Music (song),Music by James Van Heusen; Lyrics by Johnny Burke,Going My Way,126,70.0
1944,1945,17,Best Motion Picture,Paramount,Going My Way,126,70.0
1944,1945,17,Short Subject (cartoon),"Frederick C. Quimby, Producer",Mouse Trouble,7,78.0
1944,1945,17,Short Subject (one-reel),"Jerry Fairbanks, Producer",Who's Who in Animal Land,10,54.0
1944,1945,17,Short Subject (two-reel),"Gordon Hollingshead, Producer",I Won't Play,18,67.0
1944,1945,17,Sound Recording,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",Wilson,154,64.0
1944,1945,17,Special Effects,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer",Thirty Seconds over Tokyo,138,72.0
1944,1945,17,Writing (original Motion Picture Story),Leo McCarey,Going My Way,126,70.0
1944,1945,17,Writing (original Screenplay),Lamar Trotti,Wilson,154,64.0
1944,1945,17,Writing (screenplay),"Frank Butler, Frank Cavett",Going My Way,126,70.0
1945,1946,18,Actor,Ray Milland,The Lost Weekend,101,79.0
1945,1946,18,Actor In A Supporting Role,James Dunn,A Tree Grows in Brooklyn,129,80.0
1945,1946,18,Actress,Joan Crawford,Mildred Pierce,111,79.0
1945,1946,18,Actress In A Supporting Role,Anne Revere,National Velvet,123,73.0
1945,1946,18,Art Direction (black-and-white),Art Direction:  Wiard Ihnen;  Interior Decoration:  A. Roland Fields,Blood on the Sun,94,60.0
