year_film,year_ceremony,ceremony,category,film
1963,1964,36,DOCUMENTARY (Short Subject),Chagall
1963,1964,36,FOREIGN LANGUAGE FILM,Federico Fellini's 8-1/2
1963,1964,36,MUSIC (Song),Papa's Delicate Condition
1963,1964,36,BEST PICTURE,Tom Jones
1963,1964,36,SHORT SUBJECT (Cartoon),The Critic
1963,1964,36,SPECIAL EFFECTS,Cleopatra
1964,1965,37,DOCUMENTARY (Feature),Jacques-Yves Cousteau's World without Sun
1964,1965,37,DOCUMENTARY (Short Subject),Nine from Little Rock
1964,1965,37,FOREIGN LANGUAGE FILM,"Yesterday, Today and Tomorrow"
1964,1965,37,MUSIC (Song),Mary Poppins
1964,1965,37,BEST PICTURE,My Fair Lady
1964,1965,37,SHORT SUBJECT (Cartoon),The Pink Phink
1965,1966,38,DOCUMENTARY (Feature),The Eleanor Roosevelt Story
1965,1966,38,DOCUMENTARY (Short Subject),To Be Alive!
1965,1966,38,FOREIGN LANGUAGE FILM,The Shop on Main Street
1965,1966,38,MUSIC (Song),The Sandpiper
1965,1966,38,BEST PICTURE,The Sound of Music
1965,1966,38,SHORT SUBJECT (Cartoon),The Dot and the Line
1966,1967,39,DOCUMENTARY (Feature),The War Game
1966,1967,39,DOCUMENTARY (Short Subject),A Year toward Tomorrow
1966,1967,39,FOREIGN LANGUAGE FILM,A Man and a Woman
1966,1967,39,MUSIC (Song),Born Free
1966,1967,39,BEST PICTURE,A Man for All Seasons
1966,1967,39,SHORT SUBJECT (Cartoon),Herb Alpert and the Tijuana Brass Double Feature
1967,1968,40,DOCUMENTARY (Feature),The Anderson Platoon
1967,1968,40,DOCUMENTARY (Short Subject),The Redwoods
1967,1968,40,FOREIGN LANGUAGE FILM,Closely Watched Trains
1967,1968,40,MUSIC (Song),Doctor Dolittle
1967,1968,40,BEST PICTURE,In the Heat of the Night
1967,1968,40,SHORT SUBJECT (Cartoon),The Box
1968,1969,41,DOCUMENTARY (Feature),Journey into Self
1968,1969,41,DOCUMENTARY (Short Subject),Why Man Creates
1968,1969,41,FOREIGN LANGUAGE FILM,War and Peace
1968,1969,41,BEST PICTURE,Oliver!
1968,1969,41,SHORT SUBJECT (Cartoon),Winnie the Pooh and the Blustery Day
1969,1970,42,DOCUMENTARY (Feature),Arthur Rubinstein - The Love of Life
1969,1970,42,DOCUMENTARY (Short Subject),Czechoslovakia 1968
1969,1970,42,FOREIGN LANGUAGE FILM,Z
1969,1970,42,BEST PICTURE,Midnight Cowboy
1969,1970,42,SHORT SUBJECT (Cartoon),It's Tough to Be a Bird
1970,1971,43,DOCUMENTARY (Feature),Woodstock
1970,1971,43,DOCUMENTARY (Short Subject),Interviews with My Lai Veterans
1970,1971,43,FOREIGN LANGUAGE FILM,Investigation of a Citizen above Suspicion
1970,1971,43,BEST PICTURE,Patton
